sampling_point_id,begin_position,end_position,value,verification_flag,validation_flag
SPO-AD0940A-9058,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,62.3,3,1
SPO-AD0940A-9058,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0940A-9053,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,904,3,1
SPO-AD0940A-9053,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,904,3,1
SPO-AD0940A-9053,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,904,3,1
SPO-AD0940A-9053,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,905,3,1
SPO-AD0940A-9053,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,905,3,1
SPO-AD0940A-9053,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,905,3,1
SPO-AD0940A-9053,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0940A-9072,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,2,3,1
SPO-AD0940A-9072,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,2,3,1
SPO-AD0940A-9072,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,2,3,1
SPO-AD0940A-9072,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,2,3,1
SPO-AD0940A-9072,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,10,3,1
SPO-AD0940A-9072,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,57,3,1
SPO-AD0940A-9072,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0940A-9060,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,0,3,1
SPO-AD0940A-9060,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,0,3,1
SPO-AD0940A-9060,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,0,3,1
SPO-AD0940A-9060,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,0,3,1
SPO-AD0940A-9060,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,0,3,1
SPO-AD0940A-9060,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,0,3,1
SPO-AD0940A-9060,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0944A-0007,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,83.2,3,1
SPO-AD0944A-0007,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,82.8,3,1
SPO-AD0944A-0007,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,81.9,3,1
SPO-AD0944A-0007,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,81.2,3,1
SPO-AD0944A-0007,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,83.3,3,1
SPO-AD0944A-0007,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,81.9,3,1
SPO-AD0944A-0007,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0944A-9052,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,60,3,1
SPO-AD0944A-9052,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,76,3,1
SPO-AD0944A-9052,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,138,3,1
SPO-AD0944A-9052,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,79,3,1
SPO-AD0944A-9052,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,69,3,1
